partner_id,partner_name,email,phone,partner_type,role,region,city,city_tier,manager_id,training_path,signup_date,activation_date,cohort_month,months_active,onboarding_days,onboarding_status,modules_assigned,modules_completed,training_completion_pct,training_status,learning_hours,videos_completed,pdfs_opened,live_sessions_attended,mentor_sessions,portal_logins_30d,days_since_last_login,reminders_sent,quiz_attempts,quiz_avg_score,assessment_score,compliance_score,certification_status,certification_date,badges_earned,customer_ready,readiness_status,deployment_status,field_visits,leads_assigned,leads_converted,conversion_rate,sales_value,tickets_handled,avg_resolution_hours,qa_audit_score,productivity_score,customer_csat,complaints_count,repeat_issue_rate,partner_nps,performance_score,leaderboard_score,global_rank,regional_rank,at_risk_flag,at_risk_reason,next_best_action
PRT00001,Partner 1,partner1@demoapp.ai,+91-9572689615,Reseller,Sales,West,Mumbai,Tier 1,MGR068,Sales Excellence,2025-11-15,2025-12-08,2025-11,4,23,Standard,13,4,30.4,At Risk,29.2,11,9,0,2,8,18,3,16,40.0,69.1,45.0,Not Certified,,0,0,Not Ready,In Training,13,41,19,46.3,610443.0,21,23.4,69.8,54.5,3.31,7,21.8,12,80.7,82.0,179,166,1,Low training progress,Assign mentor + mandatory reminders
PRT00002,Partner 2,partner2@demoapp.ai,+91-9897388502,Agent,Technician,West,Pune,Tier 1,MGR037,Field Technician Bootcamp,2025-07-16,2025-07-28,2025-07,8,12,Fast,14,5,32.7,At Risk,33.5,9,16,2,4,16,6,3,19,42.5,49.3,70.6,Not Certified,,2,0,Not Ready,In Training,50,3,1,33.3,661.0,69,18.9,54.8,48.9,2.99,5,12.4,31,71.3,74.0,259,244,1,Low training progress,Assign mentor + mandatory reminders
PRT00003,Partner 3,partner3@demoapp.ai,+91-9652129219,Service Partner,Relationship Manager,North,Lucknow,Tier 2,MGR056,Partner Relationship Mastery,2024-06-06,2024-07-01,2024-06,21,25,Standard,8,3,41.9,At Risk,20.5,8,8,1,2,13,2,2,11,74.3,67.3,56.1,Not Certified,,1,0,Not Ready,In Training,14,98,50,51.0,367896.0,49,22.2,48.9,57.3,3.08,5,15.1,3,79.4,80.8,191,172,1,Low training progress,Assign mentor + mandatory reminders
PRT00004,Partner 4,partner4@demoapp.ai,+91-9216530620,Reseller,Sales,North,Delhi,Tier 1,MGR078,Sales Excellence,2026-01-26,2026-01-31,2026-01,1,5,Fast,16,7,42.1,At Risk,29.2,9,7,0,2,11,12,2,15,80.1,64.9,73.6,Not Certified,,1,0,Not Ready,In Training,13,128,36,28.1,666257.0,25,22.7,88.7,55.9,3.71,4,22.4,1,92.9,94.5,54,37,1,Low training progress,Assign mentor + mandatory reminders
PRT00005,Partner 5,partner5@demoapp.ai,+91-9328623724,Franchise,Sales,South,Bengaluru,Tier 1,MGR004,Sales Excellence,2026-01-24,2026-02-10,2026-01,1,17,Standard,13,3,20.2,At Risk,28.6,9,10,3,0,14,2,5,18,50.9,74.0,43.5,Not Certified,,1,0,Not Ready,In Training,59,81,39,48.1,843389.0,2,23.3,79.6,46.3,3.45,7,21.1,-13,88.4,86.2,137,126,1,Low training progress,Assign mentor + mandatory reminders
PRT00006,Partner 6,partner6@demoapp.ai,+91-9183358092,Service Partner,Support,North,Chandigarh,Tier 2,MGR009,Support Academy,2024-02-01,2024-02-19,2024-02,25,18,Standard,13,5,41.0,At Risk,20.4,8,5,2,2,17,9,2,18,69.5,72.3,70.2,Not Certified,,0,0,Not Ready,In Training,14,28,13,46.4,38070.0,214,27.4,79.7,68.9,2.9,6,19.3,25,85.0,81.9,180,161,1,Low training progress,Assign mentor + mandatory reminders
PRT00007,Partner 7,partner7@demoapp.ai,+91-9996871216,Reseller,Relationship Manager,South,Hyderabad,Tier 1,MGR074,Partner Relationship Mastery,2024-01-20,2024-02-11,2024-01,26,22,Standard,15,7,44.9,At Risk,28.5,11,9,2,1,11,0,3,18,62.4,52.4,68.2,Not Certified,,1,0,Not Ready,In Training,32,103,35,34.0,729744.0,12,25.4,72.5,56.9,2.72,5,24.7,4,77.8,76.7,232,221,1,Low training progress,Assign mentor + mandatory reminders
PRT00008,Partner 8,partner8@demoapp.ai,+91-9123226607,Reseller,Technician,Central,Raipur,Tier 2,MGR046,Field Technician Bootcamp,2024-07-05,2024-07-15,2024-07,20,10,Fast,12,5,38.3,At Risk,21.3,8,9,0,2,14,15,3,13,74.7,49.7,53.4,Not Certified,,0,0,Not Ready,In Training,6,25,10,40.0,13164.0,160,37.8,63.1,47.1,2.61,5,18.8,8,69.6,70.1,298,215,1,Low training progress,Assign mentor + mandatory reminders
PRT00009,Partner 9,partner9@demoapp.ai,+91-9652844902,Franchise,Relationship Manager,North,Jaipur,Tier 2,MGR050,Partner Relationship Mastery,2025-08-26,2025-08-29,2025-08,6,3,Fast,8,3,37.4,At Risk,14.0,5,5,3,3,11,9,3,10,65.8,57.2,63.6,Not Certified,,1,0,Not Ready,In Training,60,129,46,35.7,993046.0,43,25.2,74.0,53.6,3.7,6,13.5,-5,89.1,91.6,83,65,1,Low training progress,Assign mentor + mandatory reminders
PRT00010,Partner 10,partner10@demoapp.ai,+91-9538009666,Agent,Support,South,Chennai,Tier 1,MGR028,Support Academy,2025-03-30,2025-04-18,2025-03,11,19,Standard,9,4,39.6,At Risk,23.6,5,12,3,4,12,2,3,10,70.2,64.4,79.4,Not Certified,,0,0,Not Ready,In Training,18,24,9,37.5,44885.0,30,26.8,63.8,48.6,2.96,7,12.5,20,74.4,76.5,234,223,1,Low training progress,Assign mentor + mandatory reminders
